word;last_mentioned_on;part_of_speech;meanings
dildo;;;
dilma;;;
dilmo;;;
dimer;;;
dinas;;;Dinas e o plural de dina.
dinas;;;Fis. Unidade do sistema metrico usada para medir forcas. | Define-se um dina como a forca que, atuando sobre um grama de materia, transmite-lhe uma aceleracao de um centimetro durante cada segundo em que ele esteja sob a acao dessa forca. O dina e a unidade cientifica, ou absoluta, do sistema de unidades denominado c.g.s. (centimetro-grama-segundo). Um erg e o trabalho realizado por uma forca de um dina, atuando numa distancia de um centimetro. Para medidas maiores, utiliza-se habitualmente o megadina, que e igual a um milhao de dinas.
dinda;;substantivo feminino;Madrinha. mulher escolhida para batizar uma crianca. forma carinhosa de se tratar essa mulher. dindinha. | [Gramatica] Uso caracteristico da linguagem infantil.
dingo;;substantivo masculino;Cao selvagem da Australia. | E o unico membro selvagem da familia do cao que vive naquele pais. Os cientistas acham que os homens pre-historicos levaram os primeiros dingos para a Australia. Os dingos sao caninos de tamanho medio, quase do tamanho dos setters ingleses. Sao espertos, de orelhas eretas e pontudas, e cauda semelhante a um pincel. A maioria dos dingos tem pelagem castanho-amarelada. Mas as cores do animal variam do branco-amarelado ao preto. Os dingos raramente latem, mas uivam. Se capturados quando jovens, pode-se fazer deles bons animais de estimacao.
dinka;;;
diodo;;substantivo masculino;[Eletricidade] Valvula eletronica de dois elementos (placa e filamento).
dioga;;;
diogo;;substantivo masculino;[Popular] Diabo.
dione;;;
dique;;substantivo masculino;Construcao destinada a represar aguas correntes. reservatorio com comportas. represa. | Doca ou construcao maritima usada para abrigar, consertar, carregar e descarregar navios. | [Figurado] Obstaculo, barreira, aquilo que impede ou dificulta. impedimento. | [Geologia] Porcao rochosa que preenche uma fenda em outra rocha.
dique;;expressao;Dique seco. Tanque que pode ser esvaziado para reparo no casco dos navios.
direi;;;Direi vem do verbo dizer. O mesmo que: exporei, caracterizarei, aconselharei, falarei, alegarei, combinarei, narrarei, advertirei, ajustarei.
direi;;;Falar, discursar usando palavras. expressar ideias, pensamentos: disse o discurso. disse o discurso ao professor. | Comunicar, fazer uma afirmacao, oral ou escrita: os vereadores disseram que a cidade iria mudar. disse aos filhos que deixaria a mulher. | Fazer uma narracao, relato ou descricao sobre algo ou alguem. narrar: diz a lenda que Saci-Perere nao tinha uma perna.
disco;;substantivo masculino;Qualquer objeto chato e circular. | Rodela de materia plastica em que se gravam os sons para reproduzi-los no fonografo. | Peca de ferro, de 1,972 kg, lancada pelos atletas em competicoes esportivas. | Chapa redonda, branca de um lado e vermelha de outro, destinada a indicar se a via ferrea esta desimpedida ou nao. | A superficie aparente dos astros: o disco da Lua. | [Anatomia] Disco invertebral, cartilagem elastica que separa duas vertebras superpostas. | Disco compacto, disco de 12 cm de diametro sobre o qual sons sao registrados sob a forma de sinais digitais para serem lidos por um sistema a laser. compacto, compact disc (abrev. em ing. CD). | Disco flexivel, disquete. | [Informatica] Disco rigido, subsistema composto de diversas laminas nao flexiveis e revestidas de material magnetico que fica num bloco fechado dentro do computador, junto com os cabecotes de leitura e gravacao e uma interface de conexao com a maquina. e usado para armazenamento secundario de dados e sua capacidade e bem maior do que a dos discos flexiveis. | Disco de alta compactacao de dados (computacionais ou musicais).
disel;;;
disse;;;
disso;;contracao;Forma contraida da preposicao de com o pronome demonstrativo isso: nao vou dizer nada! Eu nao quero falar disso. | [Gramatica] Retoma a ideia de algo que ja foi dito e que pode estar um pouco mais afastado do falante, mas bem mais proximo do ouvinte. refere-se ao que foi mencionado ha pouco tempo: eu ja te falei que nao gosto disso! | Alem disso. Ademais. em adicao ao que ja foi dito: alem disso, o governo ainda ira aumentar os impostos.
disto;;contracao;Juncao da preposicao de e do pronome demonstrativo isto. | Caracteristico, particular ou pertencente ao que esta localizado de maneira proxima ao falante (primeira pessoa): andei muito tempo atras disto. | Que se refere ao que foi dito por ultimo ou mencionado mais recentemente: nunca gostei disto aqui. so falei disto agora.
ditar;;verbo transitivo;Pronunciar em voz alta para outrem escrever: ditar uma carta. | [Figurado] Sugerir, inspirar. | Impor: ditar leis.
ditas;;;Ditas vem do verbo ditar. O mesmo que: expoes, impoes, inspiras, narras, lembras, sugeres.
ditas;;;Pronunciar em voz alta para outrem escrever: ditar uma carta. | [Figurado] Sugerir, inspirar. | Impor: ditar leis.
ditos;;;Ditos e o plural de dito. O mesmo que: adagios, anexins, apotegmas, declarados, ditados, enunciados, maximas, proferidos, pronunciados.
ditos;;;Que se disse. mencionado, referido. | Expressao. frase. sentenca. conceito. mexerico. | Dar o dito por nao dito, considerar sem efeito o que se disse.
divas;;;Divas e uma palavra derivada de divo.
divas;;;Homem a quem se atribui caracteristicas de deus ou e exaltado como um deus. divindade masculina. | [Giria] Aquele que e glamouroso, famoso, especialmente por realizar alguma atividade no mundo do entretenimento. astro, estrela. | [Giria] Homem muito bonito, que se destaca pela beleza ou pelas boas qualidades. magnifico.
divos;;;Divos e o plural de divo. O mesmo que: estrelas, astros, belos, divindades, divinos, famosos, glamourosos.
divos;;;Homem a quem se atribui caracteristicas de deus ou e exaltado como um deus. divindade masculina. | [Giria] Aquele que e glamouroso, famoso, especialmente por realizar alguma atividade no mundo do entretenimento. astro, estrela. | [Giria] Homem muito bonito, que se destaca pela beleza ou pelas boas qualidades. magnifico.
dizem;;;Dizem vem do verbo dizer. O mesmo que: expoem, caracterizam, aconselham, falam, alegam, combinam, narram, advertem, ajustam.
dizem;;;Falar, discursar usando palavras. expressar ideias, pensamentos: disse o discurso. disse o discurso ao professor. | Comunicar, fazer uma afirmacao, oral ou escrita: os vereadores disseram que a cidade iria mudar. disse aos filhos que deixaria a mulher. | Fazer uma narracao, relato ou descricao sobre algo ou alguem. narrar: diz a lenda que Saci-Perere nao tinha uma perna.
dizer;;verbo transitivo direto e bitransitivo;Falar, discursar usando palavras. expressar ideias, pensamentos: disse o discurso. disse o discurso ao professor. | Comunicar, fazer uma afirmacao, oral ou escrita: os vereadores disseram que a cidade iria mudar. disse aos filhos que deixaria a mulher. | Fazer uma narracao, relato ou descricao sobre algo ou alguem. narrar: diz a lenda que Saci-Perere nao tinha uma perna.
dizer;;verbo bitransitivo;Falar alguma coisa diretamente. expressar: disse ofensas escabrosas ao pai. precisava lhe dizer algumas verdades. | Fazer uma afirmacao de modo imperativo. oferecer recomendacao, conselho. aconselhar: disse-lhe para fazer o trabalho corretamente. | Dar uma advertencia. fazer uma critica. advertir: e preciso disser-lhe boas verdades! Disse-lhe que nao era bem-vindo. | Falar de modo reprovativo, censurando. condenar: dizia julgamentos. | Fazer uma explicacao. explicar: disse as circunstancias do acontecimento.
dizer;;verbo transitivo direto;Exprimir ou exprimir-se atraves de gestos, expressoes faciais. comunicar-se sem o uso da voz: seu sorriso dizia muito sobre sua felicidade. | Recitar ou declamar algo de teor poetico: dizer uma poesia. | [Religiao] Fazer uma celebracao. ministrar a missa. celebrar: dizer a missa. | [Religiao] Comecar um cantico, uma oracao de teor religioso.
dizer;;verbo transitivo indireto;Adequar, ajustar. combinar: suas palavras nao dizem com suas acoes. | Ter importancia para. importar: seus comentarios nao dizem nada para mim.
dizer;;verbo pronominal;Caracterizar-se. definir-se: diz-se um eximio poeta.
dizer;;substantivo masculino;Exprimir por escrito: os dizeres numa carta antiga. | Modo de pensar exposto por algo ou por alguem: os dizeres cristaos. | [Gramatica] Verbo com participio irregular: dito.
dizia;;;Dizia vem do verbo dizer. O mesmo que: expunha, caracterizava, aconselhava, falava, alegava, combinava, narrava, advertia, ajustava.
dizia;;;Falar, discursar usando palavras. expressar ideias, pensamentos: disse o discurso. disse o discurso ao professor. | Comunicar, fazer uma afirmacao, oral ou escrita: os vereadores disseram que a cidade iria mudar. disse aos filhos que deixaria a mulher. | Fazer uma narracao, relato ou descricao sobre algo ou alguem. narrar: diz a lenda que Saci-Perere nao tinha uma perna.
doada;;;Doada e o feminino de doado. O mesmo que: cedida.
doada;;;Ofertado. que foi transferido por doacao. que se conseguiu doar: terreno doado. | Donativo. o que se doou: os leites doados chegaram a escola.
doado;;adjetivo;Ofertado. que foi transferido por doacao. que se conseguiu doar: terreno doado.
doado;;substantivo masculino;Donativo. o que se doou: os leites doados chegaram a escola.
doais;;;Doais vem do verbo doar. O mesmo que: dadivais, presenteais, outorgais, cedeis, brindais, concedeis, dais, facultais, obsequiais. | Doais vem do verbo doer. O mesmo que: magoeis, penalizeis, peseis, sintais.
doais;;;Entregar-se. demonstrar dedicacao a uma causa ou pessoa: doou sua inteligencia aos alunos. doou-se a familia. | [Juridico] Fazer uma transferencia legal de bens ou beneficios a: o padrasto doou aos enteados suas propriedades. | [Por Extensao] Oferecer. entregar a posse de. ofertar gratuitamente alguma coisa a alguem: doou todo o dinheiro a igreja. | Causar dor: o ferimento doeu. | Estar dolorido: doi-lhe a cabeca. | Causar do, pena, compaixao.
doara;;;Doara vem do verbo doar. O mesmo que: dadivara, presenteara, outorgara, cedera, brindara, concedera, dara, facultara, obsequiara.
doara;;;Entregar-se. demonstrar dedicacao a uma causa ou pessoa: doou sua inteligencia aos alunos. doou-se a familia. | [Juridico] Fazer uma transferencia legal de bens ou beneficios a: o padrasto doou aos enteados suas propriedades. | [Por Extensao] Oferecer. entregar a posse de. ofertar gratuitamente alguma coisa a alguem: doou todo o dinheiro a igreja.
doava;;;Doava vem do verbo doar. O mesmo que: dadivava, presenteava, outorgava, cedia, brindava, concedia, dava, facultava, obsequiava.
doava;;;Entregar-se. demonstrar dedicacao a uma causa ou pessoa: doou sua inteligencia aos alunos. doou-se a familia. | [Juridico] Fazer uma transferencia legal de bens ou beneficios a: o padrasto doou aos enteados suas propriedades. | [Por Extensao] Oferecer. entregar a posse de. ofertar gratuitamente alguma coisa a alguem: doou todo o dinheiro a igreja.
dobra;;substantivo feminino;Parte de um tecido que faz volta sobrepondo-se a outra parte. prega: dobras da bandeira. | Ato de dobrar. | Sinuosidades, ondulacoes: dobras do terreno. | Vinco: dobra do papel. | Antiga moeda portuguesa. | [Figurado] Intimo, recondito: dobras do coracao.
dobre;;substantivo masculino;Tocar de sino que anuncia a agonia ou a morte de uma pessoa: dobre de finados. | Literatura  Repeticao de palavra ou expressao em determinados pontos de uma estrofe.
dobro;;numeral;A medida, a quantidade ou o valor numerico que corresponde duas vezes a um outro(s). duplo: ela tem o dobro do seu dinheiro.
dobro;;substantivo masculino;Que se consegue duplicar. em que ha repeticao ou duplicacao: escreva um texto informativo, mas nao coloque o dobro do necessario. | Quantidade muito maior: com a doenca, sua saude precisa do dobro de cuidados. | Peso que se coloca sobre aquilo que um animal e capaz de carregar para conseguir certo equilibrio. | [Brasil] Pequena porcao acrescentada a carga dos tropeiros.
docar;;verbo transitivo direto;Adocar.
docar;;verbo intransitivo;Fazer doces.
docem;;;
doces;;;Doces vem do verbo docar.
doces;;;Adocar. | Fazer doces.
docil;;adjetivo;Que se lida com facilidade. que e facil de ensinar e aprende facilmente. manso: cao docil. | Que assimila muito bem uma orientacao. que obedece sem oferecer relutancia. obediente: tinha uma filha excessivamente docil. | Pouco usual. Que tem facilidade para aprender.
dodoi;;substantivo masculino;Na ling. infantil, dor, doenca, ferimento: ele tem um dodoi na perna.
dodoi;;adjetivo;Doente: ela esta dodoi.
dodos;;;Dodos e o plural de dodo.
doeis;;;Doeis vem do verbo doar. O mesmo que: dadiveis, presenteeis, outorgueis, cedais, brindeis, concedais, deis, faculteis, obsequieis. | Doeis vem do verbo doer. O mesmo que: magoais, penalizais, pesais, sentis.
doeis;;;Entregar-se. demonstrar dedicacao a uma causa ou pessoa: doou sua inteligencia aos alunos. doou-se a familia. | [Juridico] Fazer uma transferencia legal de bens ou beneficios a: o padrasto doou aos enteados suas propriedades. | [Por Extensao] Oferecer. entregar a posse de. ofertar gratuitamente alguma coisa a alguem: doou todo o dinheiro a igreja. | Causar dor: o ferimento doeu. | Estar dolorido: doi-lhe a cabeca. | Causar do, pena, compaixao.
doera;;;Doera vem do verbo doer. O mesmo que: magoara, penalizara, pesara, sentira.
doera;;;Causar dor: o ferimento doeu. | Estar dolorido: doi-lhe a cabeca. | Causar do, pena, compaixao.
dogao;;;
dogma;;substantivo masculino;[Religiao] Ponto fundamental ou mais importante de uma doutrina religiosa que se apresenta como algo indiscutivel ou inquestionavel. | [Por Extensao] Causa delimitada. opiniao estabelecida, firmada ou inquestionavel. preceito. | [Por Extensao] Qualquer discurso ou ideologia de teor inquestionavel.
dogue;;substantivo masculino;Raca de cao de pelo curto, peito largo e focinho chato.
doiam;;;Doiam vem do verbo doer. O mesmo que: magoavam, penalizavam, pesavam, sentiam.
doiam;;;Causar dor: o ferimento doeu. | Estar dolorido: doi-lhe a cabeca. | Causar do, pena, compaixao.
doias;;;Doias vem do verbo doer. O mesmo que: magoavas, penalizavas, pesavas, sentias.
doias;;;Causar dor: o ferimento doeu. | Estar dolorido: doi-lhe a cabeca. | Causar do, pena, compaixao.
doida;;substantivo feminino;Aquela que age insanamente, como louca.
doida;;adjetivo;Qualidade de quem age de maneira insana. como louco. | [Por Extensao] Caracteristica da pessoa insensata, sem juizo. | [Informal] Atributo da pessoa feliz. cheio de felicidade. | [Informal] Repleto de entusiasmo: doida por chocolate. | [Informal] Que se comporta de modo exagerado: veste-se como doida!
doida;;substantivo feminino;[Veterinaria] Molestia que acomete animais lanigeros (produzem la).
doido;;substantivo masculino;Individuo que nao segue a razao, que age de maneira insana ou insensata. louco, maluco.
doido;;adjetivo;Caracteristica de quem se comporta de modo insano. que apresenta indicios de loucura. | [Por Extensao] Qualidade de quem se comporta sem sensatez. que nao possui juizo. | [Informal] Atributo de quem se encontra feliz. que apresenta felicidade em excesso: ela ficou doida com aquela noticia boa! | [Informal] Que demonstra um excesso de entusiasmo por algo em especifico: ele sempre foi doido por musica. | [Informal] Que possui caracteristicas excessivas. que se comporta de maneira exagerada: ele costuma se vestir como uma doida.
doira;;;Doira vem do verbo doirar.
doira;;;Revestir com camada de oiro em folha ou em dissolucao. | Dar a cor de oiro a. | [Figurado] Disfarcar: doirar a pilula.
doiro;;;Doiro vem do verbo doirar.
doiro;;;Revestir com camada de oiro em folha ou em dissolucao. | Dar a cor de oiro a. | [Figurado] Disfarcar: doirar a pilula.
dolar;;substantivo masculino;Dinheiro usado para transacoes monetarias nos Estados Unidos, ou em outros paises, simbolizada por $. | Cedula ou moedas que representam esse dinheiro. | [Popular] Porcao de maconha enrolada em papel. trouxinha. | [Zoologia] Planta da familia das labiadas, de origem indiana, com folha repletas de nervuras e flores brancas ou em tons de azul, muito cultivada como ornamental.
dolar;;expressao;Dolar comercial. Dolar que tem cotacao do mercado oficial. | Dolar paralelo. Dolar que tem cotacao do mercado livre. | Dolar turismo. Dolar que tem cotacao para fins de turismo autorizado no exterior.
dolor;;substantivo masculino;[Desuso] O mesmo que dor.
domar;;verbo transitivo;Amansar, domesticar: domar um animal feroz. | Vencer, dominar, subjugar. | [Figurado] Refrear, reprimir: domar paixoes, impulsos.
domar;;verbo pronominal;Conter-se, dominar-se, refrear.
donas;;;Donas e o plural de dona. O mesmo que: damas, senhoras.
donas;;;[Feminino] de dom. | Tratamento dispensado a senhoras de alta linhagem. | Axionimo usado em geral no tratamento das senhoras casadas ou de certa condicao social. (Abrevia-se D.
donde;;contracao;De onde. de que lugar. expressa proveniencia, origem, procedencia: donde veio este envelope? | Dai. expressa finalizacao: deixou de beber, donde vem o dinheiro que economizou.
dondo;;adjetivo;[Portugal] Nedio, macio, lustroso. | Brando, flexivel. | Que nao tem consistencia, que esta mal cozido, (falando-se do pao).
dongo;;substantivo masculino;Barco africano, formado de um tronco de arvore.
donos;;;Donos e o plural de dono. O mesmo que: amos, patroes, possuidores, proprietarios, senhores.
donos;;;Proprietario. aquele que possui algo. quem tem a posse de: dono de um apartamento, de um comercio. | Individuo que tem e exerce poder e controle sobre: era o dono do senado. | Aquele que, por ser responsavel pelas contas e despesas, tem poder e exerce controle sobre: sentia-se o dono da casa.
dopar;;verbo transitivo direto;Ministrar qualquer tipo de tranquilizante num paciente ou outro medicamente com esse proposito: o medico dopou o paciente. | Ministrar doping, substancia ilegal que modifica artificialmente o desempenho de um atleta, aumentando e melhorando sua performance: o medico dopava o atleta.
dopar;;verbo transitivo direto e pronominal;Ficar intoxicado com algum tipo de droga entorpecente: dopou a filha com calmantes. dopava-se porque ja estava completamente viciado.
doris;;substantivo masculino;[Zoologia] Genero (Doris) de moluscos cosmopolitas, nudibranquios, tipo da familia dos Doridideos, que compreende as chamadas lesmas-do-mar, animais de forma achatada, sem concha e com o anus rodeado de branquias. Variacao de doride.
dorna;;substantivo feminino;Especie de tina muito grande onde se pisam as uvas, no preparo do vinho.
dorso;;substantivo masculino;Costas. regiao que se localiza na parte posterior do tronco. | [Figurado] A extremidade ou face superior de quaisquer objetos: o dorso da pintura. o dorso do pe. | Bibliologia. A parte do livro que se opoe ao corte das folhas, normalmente o local em que ficam o nome do autor e o titulo da obra.
dorze;;;
dotar;;verbo transitivo;Dar em doacao: dotar um hospital. | Consignar para dotacao. | Beneficiar, favorecer, prender com algum dom natural. | Fazer dote.
douda;;substantivo feminino;Variacao de doida.
doudo;;adjetivo;[Antigo] Sem juizo nem razao. doido.
doula;;substantivo feminino;Pessoa que auxilia uma mulher durante sua gravidez, seu parto e apos o nascimento do seu bebe, providenciando apoio fisico, emocional, alem de disponibilizar informacoes sobre o processo de gestacao.
doura;;;Doura vem do verbo dourar. O mesmo que: realca, adorna, disfarca, resplandece.
doura;;;Revestir de uma camada de ouro ou de uma substancia dourada. | Dar a cor de ouro a. | [Figurado] Disfarcar para que pareca mais agradavel.
doure;;;Doure vem do verbo dourar. O mesmo que: realce, adorne, disfarce, resplandeca.
doure;;;Revestir de uma camada de ouro ou de uma substancia dourada. | Dar a cor de ouro a. | [Figurado] Disfarcar para que pareca mais agradavel.
douro;;;Douro vem do verbo dourar. O mesmo que: realco, adorno, disfarco, resplandeco.
douro;;;Revestir de uma camada de ouro ou de uma substancia dourada. | Dar a cor de ouro a. | [Figurado] Disfarcar para que pareca mais agradavel.
douto;;substantivo masculino;Culto. aquele que tem um conhecimento excessivo sobre uma ou muitas coisas. | Erudito. quem e muito instruido, principalmente, em historia ou literatura.
douto;;adjetivo;Que expressa ou demonstra grande erudicao, conhecimento.
draft;;;
draga;;;Draga e uma palavra derivada de dragar.
draga;;;Limpar ou apanhar com draga.
drama;;substantivo masculino;Qualquer peca ou composicao teatral, feita especialmente para ser encenada. | [Teatro] Peca teatral de tom menos pesado que a tragedia, em que o comico pode se misturar ao tragico. | [Figurado] Acontecimento patetico ou comovente. | [Figurado] Sucessao de acontecimentos em que ha agitacao ou tumulto. | [Figurado] Circunstancia caracterizada pela tragedia, desgraca, acidente, crime  ou outros eventos de teor identico: drama dos sem abrigo. | [Psicologia] Condicao de comocao causada por uma experiencia desgastante ou de sofrimento. | [Teatro] Encenacao que representa o cotidiano atribuindo a ele carater exagerado ou patetico. | [Teatro] Arte de representar. arte dramatica. | [Literatura] Genero literario em que ha conflito (conto, romance etc.).
drene;;;Drene vem do verbo drenar. O mesmo que: sugue, escorra, esgote, enxugue.
drene;;;Enxugar um terreno por meio de drenagem. tirar todo o liquido de um terreno. escorrer: drenar plantacoes. | [Medicina] Aplicar drenos, tubos de drenagem, para sugar liquidos,  secrecoes ou pus: drenar um machucado, uma ferida.
dreno;;substantivo masculino;Vala ou fosso para praticar a drenagem. | Tubo de barro, feito especialmente para drenar. | Tubo ou mecha de qualquer substancia para facilitar o escoamento das materias de uma ferida, de uma cavidade do corpo.
drive;;substantivo masculino;Informatica  Unidade de disco.
droga;;substantivo feminino;Toda substancia usada com propositos quimicos, farmaceuticos, em tinturaria etc. | [Popular] Substancia que causa alucinacoes (morfina, cocaina etc.) e pode levar a dependencia fisica ou psicologica. narcotico, entorpecente: trafico de drogas. | [Popular] Coisa de pessima qualidade, comida de gosto desagradavel ou algo ruim, insignificante: este suco esta uma droga. o filme e uma droga. | [Figurado] Aquilo que pode ser viciante, capaz de atrair, de fazer apaixonar.
droga;;interjeicao;Expressao de irritacao, descontentamento, falta de paciencia: droga, a comida nao chega nunca!
drogo;;;Drogo vem do verbo drogar.
drogo;;;Dar medicamentos a (especialmente narcoticos). | Tomar entorpecentes.
drone;;substantivo masculino;Pequena aeronave sem tripulantes que, controlada por um controle remoto,  e usada com os mais variados propositos, especialmente para reconhecimento territorial ou em missoes militares. | [Por Extensao] Veiculo que se controla com a ajuda de um controle remoto.
drope;;;
drops;;substantivo masculino singular e plural;Bala ou pastilha geralmente em formato circular. | [Esporte] No surfe, ato de descer verticalmente uma onda. | [Jornalismo] Noticias ou videos curtos, que se intercalam durante uma programacao televisiva, ou de radio. | [Gramatica] Forma aportuguesada dropes.
drupa;;substantivo feminino;[Botanica] Fruto carnoso que contem uma unica semente protegida por um caroco duro. | A polpa nao e dividida em gomos como a polpa da laranja. A drupa e em geral coberta por uma pele fina. Entre as drupas encontram-se a azeitona, a ameixa, a cereja e o pessego.
drusa;;substantivo feminino;[Mineralogia] Incrustacao formada na superficie ou no interior de um mineral pela agregacao de cristais de outra natureza. | [Botanica] Agregado globular de cristais que ocorre em celulas de plantas.
druso;;adjetivo;Que concerne aos drusos.
druso;;substantivo masculino plural;Seita religiosa formada no Libano e que afirma que o ignorante esta sujeito aos mesmos castigos que o criminoso.
dubia;;;Dubia e o feminino de dubio. O mesmo que: incerta, ambigua, duvidosa, indefinida.
dubia;;;Em que pode haver muitas e distintas interpretacoes. ambiguo. | [Por Extensao] Que apresenta ou contem muitas duvidas. que nao se consegue definir. incerto, duvidoso ou indefinido. | [Por Extensao] Que nao pode ser caracterizado. indefinivel.
dubio;;adjetivo;Em que pode haver muitas e distintas interpretacoes. ambiguo. | [Por Extensao] Que apresenta ou contem muitas duvidas. que nao se consegue definir. incerto, duvidoso ou indefinido. | [Por Extensao] Que nao pode ser caracterizado. indefinivel. | [Figurado] Que e inconstante. que nao tem certeza sobre. incerto ou hesitante.
duble;;substantivo masculino;Pessoa, parecida com outra, que finge publicamente ser esta em certas oportunidades. | Cin. Individuo que representa em lugar do ator em certas cenas de um filme (p. ex., quando ha perigo, em cenas distantes etc.).
duble;;adjetivo masculino e feminino;Diz-se de pessoa que exerce duas atividades simultaneas.
ducal;;adjetivo;Pertencente a um duque. relativo ao ducado: coroa ducal.
ducha;;substantivo feminino;Jato de agua que se arremessa sobre o corpo ou parte do corpo com fins terapeuticos ou higienicos. banho de chuveiro. | [Figurado] Tudo que acalma uma exaltacao, que faz diminuir um entusiasmo.
duche;;substantivo masculino;Variacao de ducha.
ducho;;;Ducho vem do verbo duchar.
ducho;;;[Neologismo] Applicar duches a.
ducto;;substantivo masculino;O que utiliza para ligar uma coisa a outra. duto, canal, conduto. | [Anatomia] Tubo atraves do qual certos liquidos e materias organicas escoam. | [Construcao] Tubulacao que se destina ao transporte de liquidos, gases etc. | [Religiao] Movimento desenvolvido com o auxilio do incensorio (recipiente de metal).
ducto;;expressao;Ducto Venoso. Parte subsequente da veia umbilical que, juntamente com a veia cava inferior, forma um ligamento venoso, no momento posterior ao parto. | Ducto Lacrimal. Canal que conduz as lagrimas do sistema lacrimal ate a superficie do olho.
duelo;;substantivo masculino;Combate entre duas pessoas armadas, segundo um codigo ou  regras estabelecidas, travado diante de testemunhas, com armas previamente escolhidas, normalmente em defesa da honra de um dos participantes. | [Figurado] Toda forma de luta, disputa, querela, enfrentamento fisico ou intelectual: duelo de atletas pelo titulo. duelo verbal entre o presidente e o povo.
duere;;;
dueto;;substantivo masculino;Musica  Composicao para duas vozes ou dois instrumentos. duo.
dumas;;;Dumas e o plural de duma.
dumas;;;Juncao da preposicao de com o artigo uma. indica alguma coisa sobre a qual nao se sabe ou se quer determinar: ele esta gostando duma menina. | [Historia] Parlamento russo anterior ao regime bolchevista.
dumba;;;Dumba e uma palavra derivada de dumbo.
dupla;;substantivo feminino;Grupo de dois. par, duo. casal.
duplo;;numeral;Multiplicativo correspondente a dois.
duplo;;substantivo masculino;O que contem duas vezes uma quantidade. dobro.
duque;;substantivo masculino;Titulo de nobreza do soberano de um ducado.  Vem da palavra latina dux (comandante) e e o titulo mais alto depois de principe. Na Inglaterra ha poucos duques, fora os da familia real, cujos filhos tem os titulos de duques reais.
durai;;;Durai vem do verbo durar. O mesmo que: perseverai, persisti, porfiai, insisti, conservai, resisti, vivei.
durai;;;Conservar. permanecer num mesmo estado ou com as mesmas caracteristicas: alguns alimentos duram mais. | Persistir. existir continuamente: a guerra durou 10 anos. | Viver. seguir existindo: mesmo com o cancer, ainda durou tres anos.
duram;;;Duram vem do verbo durar. O mesmo que: perseveram, persistem, porfiam, insistem, conservam, resistem, vivem.
duram;;;Conservar. permanecer num mesmo estado ou com as mesmas caracteristicas: alguns alimentos duram mais. | Persistir. existir continuamente: a guerra durou 10 anos. | Viver. seguir existindo: mesmo com o cancer, ainda durou tres anos.
durar;;verbo intransitivo;Conservar. permanecer num mesmo estado ou com as mesmas caracteristicas: alguns alimentos duram mais. | Persistir. existir continuamente: a guerra durou 10 anos. | Viver. seguir existindo: mesmo com o cancer, ainda durou tres anos.
duras;;substantivo feminino, plural;Na locucao adverbial as duras ou a duras: dificilmente, trabalhosamente.
durei;;;Durei vem do verbo durar. O mesmo que: perseverei, persisti, porfiei, insisti, conservei, resisti, vivi.
durei;;;Conservar. permanecer num mesmo estado ou com as mesmas caracteristicas: alguns alimentos duram mais. | Persistir. existir continuamente: a guerra durou 10 anos. | Viver. seguir existindo: mesmo com o cancer, ainda durou tres anos.
durem;;;Durem vem do verbo durar. O mesmo que: perseverem, persistam, porfiem, insistam, conservem, resistam, vivam.
durem;;;Conservar. permanecer num mesmo estado ou com as mesmas caracteristicas: alguns alimentos duram mais. | Persistir. existir continuamente: a guerra durou 10 anos. | Viver. seguir existindo: mesmo com o cancer, ainda durou tres anos.
dures;;;Dures vem do verbo durar. O mesmo que: perseveres, persistas, porfies, insistas, conserves, resistas, vivas.
dures;;;Conservar. permanecer num mesmo estado ou com as mesmas caracteristicas: alguns alimentos duram mais. | Persistir. existir continuamente: a guerra durou 10 anos. | Viver. seguir existindo: mesmo com o cancer, ainda durou tres anos.
duros;;;Duros e o plural de duro. O mesmo que: rijos, asperos, fortes, resistentes.
duros;;;Rijo, firme, solido. | Que opoe resistencia. | Custoso, dificil, arduo.
durou;;;Durou vem do verbo durar. O mesmo que: perseverou, persistiu, porfiou, insistiu, conservou, resistiu, viveu.
durou;;;Conservar. permanecer num mesmo estado ou com as mesmas caracteristicas: alguns alimentos duram mais. | Persistir. existir continuamente: a guerra durou 10 anos. | Viver. seguir existindo: mesmo com o cancer, ainda durou tres anos.
dutra;;;
duzia;;substantivo feminino;Conjunto de doze objetos da mesma natureza.
ebano;;substantivo masculino;Designacao comum de algumas arvores da familia das ebenaceas, do genero Diospyros, nativas da India e do Sri Lanka, cuja madeira de qualidade e escura e muito resistente. pau-preto ou sapota-preta. | [Botanica] A madeira que se retira dessas arvores. | [Figurado] Que possui a cor muito escura. de cor negra. cuja cor escura se assemelha ao ebano.
ebola;;substantivo masculino;Designacao comum da doenca infecciosa que, causada pelo virus Ebola e sendo altamente contagiosa, atinge os seres humanos ou outros mamiferos. | O virus que causa essa doenca. a febre hemorragica provocada por esse virus.
ebook;;;
ebria;;;Ebria e o feminino de ebrio. O mesmo que: alucinada, bebada, embriagada, extasiada, temulenta.
ebria;;;Que esta muito alcoolizado. bebado: o ebrio causou o acidente. | Que esta intoxicado pelo excesso de bebida alcoolica. | Que se embriaga com frequencia. que tem tendencia para se embriagar.
